"filename","runnr","nHITS","of","RESID","SSwR","datetime","aHIVdeath","aHIVslowrecov","aHIVtreatinit","alphaH","alphaHmul2010","atheta","chi","epsilonH","epsilonHmul2010","eta","j1A0","j2A0","j3A0","j4A0","kappa","lambdaH","muDc","muH1","muH2","muK","multiplier","pEhigh","phiH","phiHmul2010","phiS","pR","pT","rho","sageA15","sigma","smul","theta","zeta"
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.16,11.11,"2021-12-17_15h15m27s",3.00799,0.70935,1.04404,0.72485,0.6636,21.54147,0.23675,0.53749,0.36527,0.59418,0.29928,0.42157,0.49132,0.49452,0.17065,1.25268,0.08913,0.00565,0.07382,0.01946,0.25881,0.38162,1.75343,4.22984,0.02855,0.64859,0.00133,0.00426,1,0.00055,0.82853,0.08329,0.38586
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.25,9.726,"2021-12-17_15h28m40s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.01944,0.25853,0.37819,1.73689,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.92,9.709,"2021-12-17_15h28m55s",2.97281,1.69466,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.01944,0.25853,0.37819,1.73689,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.69,10.15,"2021-12-17_15h30m50s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.012,0.05001,0.01944,0.25853,0.37819,1.73689,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.48,9.903,"2021-12-17_15h31m04s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.025,0.25853,0.37819,1.73689,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.24,9.724,"2021-12-17_15h31m11s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.01944,0.62414,0.37819,1.73689,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.24,10.77,"2021-12-17_15h31m25s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.01944,0.25853,0.37819,4.19323,4.22695,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.36,9.859,"2021-12-17_15h31m33s",2.97281,0.70195,1.04164,0.71875,0.6328,22.00692,0.23778,0.53486,0.37489,0.61743,0.30226,0.41971,0.49016,0.50991,0.17379,1.23342,0.09647,0.00557,0.05001,0.01944,0.25853,0.37819,1.73689,5,0.02847,0.65069,0.00133,0.00446,0.91221,0.00055,0.8286,0.08259,0.39097
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.16,9.624,"2021-12-17_15h35m02s",2.96487,0.7003,1.03885,0.71734,0.62628,22.08126,0.23793,0.53422,0.37706,0.6211,0.30305,0.41934,0.48992,0.51309,0.17453,1.23406,0.09803,0.012,0.04507,0.01944,0.25847,0.37355,1.73276,4.22623,0.02846,0.65089,0.00133,0.00449,0.91333,0.00055,0.82888,0.08251,0.39286
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.24,9.506,"2021-12-17_15h39m16s",2.95476,0.69585,1.0452,0.71402,0.61256,22.20238,0.23846,0.53266,0.38201,0.6347,0.30482,0.41824,0.48914,0.52144,0.17606,1.2328,0.10138,0.012,0.03601,0.01943,0.25829,0.37754,1.72254,4.22444,0.02842,0.65198,0.00133,0.00448,0.9157,0.00055,0.82947,0.08212,0.39104
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.33,9.659,"2021-12-17_15h43m42s",2.92682,0.68611,1.03245,0.70518,0.58721,22.46573,0.23932,0.52801,0.39426,0.65718,0.31133,0.41583,0.48733,0.54199,0.18042,1.22978,0.10984,0.00551,0.05567,0.01942,0.25784,0.37073,1.69157,4.21898,0.02838,0.65245,0.00133,0.00445,0.92245,0.00056,0.83624,0.08184,0.39157
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,12.64,6.378,"2021-12-17_16h23m46s",1.84777,0.49957,0.81075,0.56833,0.70679,25.63927,0.24639,0.43895,0.49434,0.75314,0.80346,0.36027,0.4375,0.67689,0.19133,1.2189,0.13895,0.00604,0.01397,0.0192,0.25236,0.3787,0.90891,4.08436,0.028,0.64065,0.00132,0.00281,0.93842,0.00068,0.93021,0.08467,0.38263
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,11.92,5.807,"2021-12-17_16h33m06s",1.64648,0.39034,0.77872,0.52315,0.77457,25.84462,0.24746,0.41141,0.5266,0.77173,0.77921,0.33531,0.41555,0.69287,0.18935,1.20829,0.14302,0.00626,0.01519,0.01908,0.25063,0.37622,0.6414,4.03415,0.02778,0.64123,0.00132,0.00255,0.93578,7e-04,0.93713,0.08535,0.38237
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,10.93,5.168,"2021-12-17_16h34m02s",1.64648,0.39034,0.77872,0.52315,0.77457,25.84462,0.24746,0.41141,0.5266,0.77173,0.32276,0.33531,0.41555,0.69287,0.18935,1.20829,0.14302,0.012,0.01519,0.01908,0.25063,0.37622,0.6414,4.03415,0.02778,0.64123,0.00132,0.00255,0.93578,7e-04,0.93713,0.08535,0.38237
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,12.32,5.746,"2021-12-17_16h34m10s",1.64648,0.39034,0.77872,0.52315,0.77457,25.84462,0.24746,0.41141,0.5266,0.77173,0.32276,0.33531,0.41555,0.69287,0.18935,1.20829,0.14302,0.00626,0.03668,0.01908,0.25063,0.37622,0.6414,4.03415,0.02778,0.64123,0.00132,0.00255,0.93578,7e-04,0.93713,0.08535,0.38237
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,11.17,5.476,"2021-12-17_16h37m47s",1.64709,0.39,0.77769,0.52311,0.77495,25.84185,0.24747,0.4114,0.52704,0.77175,0.77912,0.33523,0.4155,0.69289,0.18934,1.20581,0.14302,0.00626,0.01526,0.01908,0.25061,0.37923,0.64128,4.03409,0.02778,0.64132,0.00132,0.00254,0.93578,7e-04,0.93709,0.08531,0.38115
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,11.16,5.221,"2021-12-17_16h38m41s",1.64709,0.39,0.77769,0.52311,0.77495,25.84185,0.24747,0.4114,0.52704,0.77175,0.32272,0.33523,0.4155,0.69289,0.18934,1.20581,0.14302,0.012,0.01526,0.01908,0.25061,0.37923,0.64128,4.03409,0.02778,0.64132,0.00132,0.00254,0.93578,7e-04,0.93709,0.08531,0.38115
"[ZAF][][2021-12-17_14h58m27s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,12.64,6.044,"2021-12-17_16h38m49s",1.64709,0.39,0.77769,0.52311,0.77495,25.84185,0.24747,0.4114,0.52704,0.77175,0.32272,0.33523,0.4155,0.69289,0.18934,1.20581,0.14302,0.00626,0.03685,0.01908,0.25061,0.37923,0.64128,4.03409,0.02778,0.64132,0.00132,0.00254,0.93578,7e-04,0.93709,0.08531,0.38115
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.35,9.846,"2021-12-17_16h50m33s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.0052,0.06381,0.01869,0.24563,0.37387,1.98492,3.67604,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.93,10.18,"2021-12-17_16h52m52s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.012,0.06381,0.01869,0.24563,0.37387,1.98492,3.67604,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.49,9.881,"2021-12-17_16h53m08s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.0052,0.06381,0.025,0.24563,0.37387,1.98492,3.67604,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.36,9.867,"2021-12-17_16h53m15s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.0052,0.06381,0.01869,0.593,0.37387,1.98492,3.67604,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.26,10.83,"2021-12-17_16h53m30s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.0052,0.06381,0.01869,0.24563,0.37387,4.79203,3.67604,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.53,10.06,"2021-12-17_16h53m38s",2.45815,0.69027,1.09922,0.7377,0.59585,24.3415,0.23733,0.49911,0.4092,0.59668,0.34124,0.37398,0.36007,0.53682,0.16974,1.23447,0.10681,0.0052,0.06381,0.01869,0.24563,0.37387,1.98492,5,0.03076,0.64467,0.00129,0.00389,0.88498,5e-04,0.77517,0.08551,0.39002
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.98,9.576,"2021-12-17_16h56m55s",2.45269,0.68939,1.09892,0.73714,0.59376,24.37158,0.23756,0.49881,0.41016,0.60003,0.34145,0.90235,0.35997,0.53847,0.16994,1.24354,0.10719,0.00519,0.06088,0.01869,0.24556,0.38084,1.98328,3.6754,0.03075,0.64522,0.00129,0.00389,0.88538,5e-04,0.77529,0.08531,0.37896
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.05,9.603,"2021-12-17_16h57m02s",2.45269,0.68939,1.09892,0.73714,0.59376,24.37158,0.23756,0.49881,0.41016,0.60003,0.34145,0.37377,0.86905,0.53847,0.16994,1.24354,0.10719,0.00519,0.06088,0.01869,0.24556,0.38084,1.98328,3.6754,0.03075,0.64522,0.00129,0.00389,0.88538,5e-04,0.77529,0.08531,0.37896
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,17.07,10.32,"2021-12-17_16h57m40s",2.45269,0.68939,1.09892,0.73714,0.59376,24.37158,0.23756,0.49881,0.41016,0.60003,0.34145,0.37377,0.35997,0.53847,0.16994,1.24354,0.10719,0.012,0.06088,0.01869,0.24556,0.38084,1.98328,3.6754,0.03075,0.64522,0.00129,0.00389,0.88538,5e-04,0.77529,0.08531,0.37896
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.36,9.777,"2021-12-17_17h02m05s",2.44926,0.68934,1.0965,0.73699,0.59315,24.38341,0.23752,0.49873,0.41036,0.59938,0.34163,0.37379,0.36,0.53873,0.17008,1.24489,0.10739,0.012,0.06009,0.01869,0.24555,0.37466,1.98283,3.67522,0.03075,0.64503,0.00129,0.00391,0.88567,5e-04,0.7756,0.08537,0.3818
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.96,9.352,"2021-12-17_17h04m11s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.24549,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.71,9.293,"2021-12-17_17h05m43s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.90178,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.24549,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.57,9.287,"2021-12-17_17h05m51s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.86876,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.24549,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.53,9.806,"2021-12-17_17h06m28s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.012,0.05618,0.01869,0.24549,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.18,9.504,"2021-12-17_17h06m43s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.025,0.24549,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,15.95,9.349,"2021-12-17_17h06m51s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.59266,0.37857,1.98026,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.91,10.36,"2021-12-17_17h07m06s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.24549,0.37857,4.78076,3.67422,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
"[ZAF][][2021-12-17_16h41m01s][][3_2_3][XMLinput_2910_m][optim].log:",1,36,36,16.15,9.58,"2021-12-17_17h07m14s",2.44532,0.68777,1.0989,0.73614,0.59007,24.41161,0.23772,0.49826,0.41185,0.60447,0.34199,0.37353,0.35985,0.54129,0.17051,1.23857,0.10814,0.00517,0.05618,0.01869,0.24549,0.37857,1.98026,5,0.03074,0.64554,0.00129,0.00391,0.88658,5e-04,0.77546,0.08519,0.3816
