uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,omegaS0,pEhigh,phiH,phiHmul2010,pR,pT,rho,sageA15,sigma,smul,theta,zeta
dcc26e03bce4a6e8360899f96d845720,33,4.22540551,0.309814568,2.505069123,1.199929462,0.503588595,24.50701834,0.247056333,0.619435946,0.45224701,0.67516977,0.506029576,0.922176025,0.413376334,0.260899904,0.197133362,0.960014472,0.109740893,0.007745141,0.130647694,0.015532454,0.672630855,0.032858264,0.402163978,2.41497984,1.022907486,0.717352792,0.001411551,0.007211638,0.692689192,0.000358428,0.728676362,0.097883393,0.421461949
6cf70e7e7f533ef90ac5317889ea37a9,32,3.22015307,0.971822796,1.974028637,0.717183815,0.691173223,16.41838613,0.167889369,0.805517915,0.284095733,0.349113242,0.509487751,0.712533632,0.350742567,0.539862764,0.111081112,0.951440513,0.103105862,0.006904348,0.268071575,0.006822245,0.339868513,0.032068464,0.313859452,3.027606516,2.513766472,0.747048716,0.001143458,0.008928406,0.809755579,0.000441437,0.942803474,0.098047169,4.078610539
e42d9e4f558b138628a52104c7a48050,32,3.851333129,0.768542108,0.573385415,0.417927591,2.18709818,21.69127886,0.158643198,1.780485941,0.176363593,0.708426104,0.867455876,0.749245741,0.936988781,0.516843032,0.059936794,0.922064606,0.104044636,0.005370756,0.050009946,0.014452432,1.494423031,0.034146171,0.410300945,1.207237203,4.264305871,0.730499378,0.001196272,0.003469236,0.676802117,0.001047244,0.254618763,0.086913846,0.383196358
75a16e9d3e4195fa4e0de76e4d72d53b,32,2.848957251,1.456181274,1.311355799,0.35211596,0.795557474,28.06872692,0.234505292,1.196560568,0.232119318,0.690612873,0.876191531,0.680257607,0.475378611,0.495989999,0.161334913,0.723106897,0.140957512,0.002902072,0.094124074,0.012646055,1.780662045,0.041954115,0.390184613,3.086375151,3.249285166,0.725120479,0.00126425,0.006478188,0.514251132,0.000930053,1.204850425,0.090182605,0.539268348
eb72d26d8f591fca73173d2d97752152,32,4.767718446,1.105396866,0.802143516,0.456485955,2.179897049,24.31152362,0.19986385,1.178134957,0.147536685,0.567416162,0.812164987,0.622707827,0.767479356,0.207029231,0.081640515,0.817844739,0.062808531,0.004791401,0.041192606,0.006091868,1.654887684,0.036782731,0.343320936,0.872503848,3.777631361,0.730260507,0.001056932,0.004160042,0.635114707,0.001009899,0.923555519,0.086708301,0.890625848
df592358d7da32500fe10f4e3a1d2d20,32,4.580147816,1.274333199,0.779067381,0.385867283,1.910870181,26.60697271,0.211268255,0.978036652,0.176654165,0.61508793,0.777626729,0.564787456,0.573268792,0.229155476,0.11798905,0.773777661,0.072590601,0.004727882,0.023439377,0.005316299,1.655000952,0.038366229,0.356889119,1.316488686,4.119097635,0.742003547,0.001099362,0.004111831,0.57556771,0.000964356,1.099987616,0.08620087,0.491818325
afc6bb22abbb64358634339286d2cef5,32,4.441696538,0.592633478,2.05542978,0.925314751,0.650520792,24.7632798,0.210078187,0.56288614,0.398806184,0.544560639,0.439401188,0.944077945,0.396862324,0.276048487,0.205321316,0.912123121,0.1203716,0.007611099,0.105383958,0.021787661,0.70613043,0.032426682,0.403429388,2.773791929,1.417832252,0.694924181,0.001162192,0.010795584,0.574063377,0.000319174,0.505092031,0.08892874,0.661594995
456c54001a08fc8980a59b35fb955ad6,32,4.113148991,0.381739861,2.25660981,0.820446346,0.707448053,25.77070929,0.204977954,0.396181284,0.645928521,0.544794247,0.423407128,0.690571541,0.486026361,0.316045549,0.181130115,0.831011438,0.136382693,0.004506738,0.063149865,0.01853815,0.882516697,0.040551613,0.400418211,3.144761268,1.31004833,0.69007278,0.001401793,0.00609399,0.412872587,0.000323775,1.059326543,0.070279425,0.491980019
791e52356c3b599c879377e052e0393a,32,4.248882688,0.479289064,1.896043411,0.649316886,0.507527769,23.23818594,0.195573737,0.475674682,0.696566864,0.523854588,0.525401154,0.63877299,0.625528598,0.231811107,0.161883596,0.922841133,0.136516122,0.006132687,0.078839316,0.017657186,0.609630212,0.038735547,0.41481961,2.932104679,2.143033098,0.720049514,0.001442915,0.007085255,0.429272862,0.000171698,0.795823444,0.079882355,0.48562211
42aa5c6aff544f688cffa7eabe4618af,32,4.058934248,0.328098764,2.295628745,0.88834738,0.450848642,25.19078175,0.206338278,0.420104739,0.625957372,0.59271662,0.438925803,0.693567509,0.490748339,0.29848956,0.185629562,0.848623521,0.141711014,0.004969256,0.06728747,0.019573569,0.815341095,0.040200805,0.400734466,3.023838342,1.641090983,0.704590529,0.001476157,0.006479379,0.42838216,0.000311361,1.094938251,0.071578613,0.652824803
1e50753bc5e0d0e4103ad7603d3310a4,32,4.771460506,0.766098897,2.57830328,0.792255644,0.431811763,23.82134564,0.213143401,0.49068418,0.53613471,0.453193843,0.558286285,0.907960049,0.458691981,0.296133871,0.216056616,0.906096898,0.126762767,0.008893044,0.100212653,0.020645481,0.640818781,0.036482584,0.423740623,2.750584658,1.529270296,0.70757372,0.001198293,0.01126663,0.496174062,0.000181962,0.421482358,0.089648334,0.227111185
3f5e29c0c8964ae919edd47152155e29,32,3.74425118,0.531787977,2.723846192,0.977808893,0.43110357,25.97973461,0.194169232,0.423223806,0.678227922,0.722244685,0.499912841,0.838192431,0.456315541,0.262045232,0.210705052,0.834878275,0.10889895,0.007050129,0.050347706,0.019325811,0.871975573,0.038573153,0.383614411,3.1940925,1.081834972,0.725774096,0.001517834,0.006623836,0.549130418,0.000311376,0.826605805,0.077580065,0.586899798
17372dd1f3cbd4014c81ab141ea9ffd0,32,4.15973765,0.401172164,2.210920489,1.346018076,0.665416736,20.95670529,0.180938485,0.530171171,0.306178984,0.771591938,0.460852475,0.724656034,0.500873256,0.19828977,0.185288376,0.857089898,0.125903104,0.006797505,0.087356272,0.020528468,0.900535438,0.040562209,0.404992648,2.878532131,2.188622558,0.706565081,0.001295424,0.009358856,0.556416348,0.000301978,1.044739839,0.078039964,0.36479069
3dae7536240038e24e06015ec75f8c49,32,4.320949106,0.419153691,2.226474113,0.736970622,0.389221499,20.43688294,0.233731099,0.474564099,0.577222626,0.539443109,0.537292287,0.735212347,0.379868488,0.160965224,0.206344851,0.945989756,0.147826384,0.007936657,0.111998399,0.019889393,0.985279689,0.036441831,0.429505533,2.833652352,2.302891543,0.744798312,0.001387348,0.01470408,0.537361408,0.000307045,0.716519475,0.085572182,0.644381972
38857023e29d9765abecfcf28c7b7ee1,32,4.471512421,0.795626587,2.200323347,0.760114732,0.979001209,20.44060879,0.208264589,0.587693789,0.425642027,0.669541219,0.559041084,0.888246958,0.366491493,0.218026743,0.186058319,0.922032816,0.114887266,0.006504613,0.105083201,0.023018262,0.807227331,0.037253494,0.41958916,2.760212934,1.488539377,0.727365718,0.001506416,0.009612595,0.522513153,0.000342703,0.766626598,0.08103838,0.495942341
07625c4e0a094f039babb60dfe68ee46,32,4.451533458,0.56790786,2.659552464,0.685442903,0.584313529,22.48911108,0.218688567,0.360384708,0.618350623,0.662246086,0.520794767,0.743495679,0.388861284,0.201198392,0.222820318,0.869145224,0.142377879,0.005399144,0.08388482,0.020763973,1.01460105,0.040711978,0.400944242,2.862611222,1.45443261,0.707906557,0.001498361,0.009114418,0.447310189,0.000323623,0.860749254,0.073038083,0.557442804
bd12ccc2718ac54081e08e1038b19adb,32,3.800854908,0.466135747,1.866286961,0.808391659,0.40899398,21.51403624,0.205880138,0.633516828,0.388538103,0.61607619,0.543026921,0.803024202,0.45812256,0.274203743,0.216128837,0.889143212,0.132901871,0.007147937,0.06742058,0.022288883,0.972715468,0.034722982,0.432034152,2.91617289,1.112313943,0.72526332,0.001422555,0.009436954,0.412535264,0.000441242,0.909346338,0.074390829,0.436253621
5ee9d1b69fa186dbb2c60d101a64daf3,32,4.149542886,0.258570966,2.229579104,0.699575491,0.640272698,22.26027491,0.216427951,0.378438403,0.716501166,0.608001614,0.501532264,0.665709711,0.484348075,0.27151689,0.194829663,0.851983597,0.136207307,0.004316849,0.051346252,0.018921493,0.86077486,0.039669065,0.396134558,3.101615453,1.663264968,0.716224284,0.001541903,0.007087458,0.440540304,0.000300999,0.989159711,0.074956167,0.509864871
9418080c75e4a1ed0b64fe08dbde6d33,32,4.30106363,0.822214789,2.024605446,1.038244119,0.595156807,20.54970571,0.198482068,0.640016841,0.383004315,0.398942401,0.566059521,0.832999062,0.452881938,0.327119962,0.194278409,0.886721572,0.099477097,0.006939609,0.034779952,0.021401495,0.993601595,0.032514812,0.401394922,3.143755853,2.11997473,0.692359023,0.001231344,0.005555358,0.463158917,0.000389475,0.477623377,0.083509179,0.229245976
7d43c14a385b30db7a3d843faa204d9f,32,4.356723203,0.499470798,2.28558354,0.903092333,0.501231129,25.84874167,0.202340108,0.448866387,0.590436017,0.630138787,0.42175367,0.782897529,0.360390453,0.265050569,0.191210626,0.81528207,0.124728362,0.00464989,0.073344094,0.022979697,0.738111834,0.037512475,0.388384324,3.125631906,0.897999583,0.692558892,0.001323887,0.007616768,0.486673124,0.000392068,0.95824218,0.073306611,0.701527458
